state_code,state,capital,region,lat,lon,desertification_pressure_score,flooding_pressure_score,slope_mean_t2m_c,z_mean_t2m_c,slope_mean_t2m_max_c,z_mean_t2m_max_c,slope_dry_days_lt_1mm,z_dry_days_lt_1mm,slope_longest_dry_spell_days,z_longest_dry_spell_days,slope_annual_precip_mm,z_annual_precip_mm,slope_mean_rh2m_pct,z_mean_rh2m_pct,slope_heavy_rain_days_ge_20mm,z_heavy_rain_days_ge_20mm,slope_extreme_rain_days_ge_50mm,z_extreme_rain_days_ge_50mm,slope_max_1day_precip_mm,z_max_1day_precip_mm,slope_max_5day_precip_mm,z_max_5day_precip_mm,slope_rainfall_concentration,z_rainfall_concentration
MG,Minas Gerais,Belo Horizonte,Sudeste,-19.9167,-43.9345,5.053513731474302,-7.083848764897686,0.04536007827788678,1.1832860239124412,0.063502283105023,1.31846898064726,1.0,0.04583563618643271,0.42105263157894735,0.8819534264439578,-14.97642857142856,-0.5865168267387306,-0.19680626223091885,-1.03745283754548,-0.2631578947368421,-1.3938285520051323,0.0,-0.19611613513818402,-0.3052941176470587,-2.188975343241501,-1.2524999999999977,-2.4786456978912037,0.00026937629850678547,-0.8262830366216652
MS,Mato Grosso do Sul,Campo Grande,Centro-Oeste,-20.4697,-54.6201,4.814949886875671,4.800205011767054,0.04864840182648441,1.4609794007759493,0.05988418430884159,1.1155557364474045,1.6470588235294117,1.3046177787786943,0.0975609756097561,-0.5646244647230085,-12.212499999999997,-0.15675400184296176,-0.2238508371385082,-1.3416674337536698,0.0,0.7344742621036712,0.0,-0.19611613513818402,0.24074074074074073,0.49658114774457357,0.29769230769230914,1.2432984739523811,0.0010022521529738045,2.521967263104612
MT,Mato Grosso,Cuiabá,Centro-Oeste,-15.601,-56.0974,6.348219906634396,0.867043385923897,0.044503116500736205,1.110917047373808,0.05658708414872799,0.9306450063571668,1.3076923076923077,0.6444173543421936,0.5769230769230769,1.5789690556280407,-13.676923076923073,-0.3844569189468314,-0.25560109289617516,-1.6988145239863548,-0.05714285714285714,0.27232850818290233,0.0,-0.19611613513818402,0.06999999999999984,-0.34317092582434827,-0.11600000000000128,0.2500412723061861,0.000643719971469156,0.8839606663973408
PA,Pará,Belém,Norte,-1.4558,-48.4902,-8.102631167923212,1.2677900119987462,0.019622848743441616,-0.990179596153839,0.01694200294867134,-1.2927636112738645,0.1111111111111111,-1.6834004384857655,0.0,-1.000893987455903,1.4241666666666408,1.9636091831577092,-0.0004058219178086908,1.171784351396131,0.1111111111111111,1.6330910058384993,0.0,-0.19611613513818402,0.30000000000000016,0.7880352296773887,0.2266666666666642,1.0727690052180252,5.9052237472220985e-06,-2.029989093596983
PB,Paraíba,João Pessoa,Nordeste,-7.1195,-34.845,-3.1821177422356506,0.28736485193935135,0.027079908675799222,-0.3604434635968491,0.03369214131218459,-0.35336833557710834,0.6521739130434783,-0.6308219582505143,0.03125,-0.8611514059555229,-9.102000000000022,0.32689716072935904,-0.046842465753424545,0.6494354181262972,-0.09090909090909091,-0.0007576191339156148,0.0,-0.19611613513818402,0.22129032258064515,0.40091839665856116,-0.2495652173913035,-0.07064299374504948,0.00048393576579867,0.1539632032979393
PE,Pernambuco,Recife,Nordeste,-8.0476,-34.877,-3.5229649388682747,0.30749287079135296,0.026487194758785124,-0.4104971540859848,0.03300677861782791,-0.3918054196921813,0.5,-0.9268596558166787,0.03225806451612903,-0.8566435807458331,-8.939259259259256,0.3522016932666208,-0.0525745366639804,0.5849574352609754,-0.125,-0.27646957459801064,0.0,-0.19611613513818402,0.30227272727272736,0.7992131561151525,-0.2651851851851872,-0.10814585568440138,0.0004697188787818286,0.08901128009679643
PI,Piauí,Teresina,Nordeste,-5.0892,-42.8019,1.310816993212779,-2.1440286203241476,0.04441256830601089,1.103270405067916,0.05241095890410858,0.6964360559368552,0.8,-0.3432424806148118,0.0,-1.000893987455903,-10.526086956521725,0.10546610073070753,-0.18998412555829985,-0.96071310100943,-0.125,-0.27646957459801064,0.0,-0.19611613513818402,0.005833333333333357,-0.6587610489172229,-0.5196774193548396,-0.7191706189005523,0.0003859911118278671,-0.29351124277017776
PR,Paraná,Curitiba,Sul,-25.4284,-49.2733,-2.6109690727901276,-3.2663710204893386,0.02414155251141577,-0.6085826851960525,0.032814770696842965,-0.4025737685831082,0.7777777777777778,-0.3864733824816168,0.125,-0.4419236614543819,-9.978461538461548,0.19061629205009664,-0.05294419499408072,0.5807992830248718,-0.17073170731707318,-0.6463270758303333,0.0,-0.19611613513818402,-0.045833333333333094,-0.9128725766023942,-0.4076923076923086,-0.4502992462215826,0.0002180541008652896,-1.0607559866968446
RJ,Rio de Janeiro,Rio de Janeiro,Sudeste,-22.9068,-43.1729,-3.9909755667279527,10.444555680902457,0.020189363416599427,-0.9423383876149134,0.023516438356164748,-0.9240506234679893,1.2352941176470589,0.5035745971290735,0.18181818181818182,-0.18784624054459947,-0.4533333333333303,1.6716769993513998,-0.03624540420979922,0.7686379128781243,0.18518518518518517,2.2321688349950515,0.034482758620689655,5.0990195135927845,0.4070833333333332,1.314701863670043,0.5349999999999995,1.8130639010774208,0.0004470842264571375,-0.014398432432841371
RN,Rio Grande do Norte,Natal,Nordeste,-5.7945,-35.211,-7.827599035107015,3.705290911944023,0.020851805728518,-0.8863962517954652,0.020301369863014024,-1.1043607849700703,0.0,-1.8995549478197902,-0.06896551724137931,-1.3092914086981218,-2.3788235294117577,1.3722828273999625,0.007055390113161702,1.2557128144236045,0.022727272727272728,0.9182822324130678,0.0,-0.19611613513818402,0.579375,2.1620818370395503,0.3050000000000005,1.2608439247066345,0.0003539707482211237,-0.43980094707704515
RO,Rondônia,Porto Velho,Norte,-8.7619,-63.9039,6.270389660365949,-4.278422948826789,0.04487348912167586,1.1421943904595828,0.059022831050228125,1.0672486022442587,1.1875,0.4105963706875995,0.3448275862068966,0.5410931187551901,-25.39000000000001,-2.205721433058784,-0.18490107792499325,-0.9035357451605338,-0.42105263157894735,-2.6708102404704146,0.0,-0.19611613513818402,-0.18333333333333332,-1.5891371260871283,-0.34666666666666685,-0.30377934167726905,0.0005556105454348091,0.4814198945462078
RR,Roraima,Boa Vista,Norte,2.8235,-60.6758,-3.4303969979604703,2.018452495949533,0.027416539827498546,-0.33201553067257716,0.02717538737929459,-0.7188463826582135,0.6,-0.7323205974160565,0.2,-0.10654146585346909,-5.6019999999999985,0.8711116178915991,-0.045053272450532394,0.669561403468555,0.0,0.7344742621036712,0.0,-0.19611613513818402,0.42000000000000015,1.3782297455913375,0.021176470588234426,0.5793959999012459,0.00034571218979994673,-0.4775313765085377
RS,Rio Grande do Sul,Porto Alegre,Sul,-30.0346,-51.2177,-7.561870798520296,1.9936038123301143,0.005205479452054692,-2.207702113279898,0.010410961399306492,-1.6590429484175446,0.8157894736842105,-0.3125257871831347,-0.03571428571428571,-1.1605997948849092,-3.228800000000001,1.2401201178165755,-0.017288251366119074,0.9818800369382341,0.0,0.7344742621036712,0.0,-0.19611613513818402,0.23839999999999975,0.4850687115082262,0.2499999999999858,1.1287913216614105,0.0004155177804794394,-0.15861434780500944
SC,Santa Catarina,Florianópolis,Sul,-27.5949,-48.5482,-6.605189351573509,-1.5055773148635119,0.01702155302262662,-1.2098546318545613,0.017133715674250063,-1.2820118177787196,0.25,-1.4132073018182345,0.0,-1.000893987455903,-6.141153846153849,0.7872786699740134,-0.023505635435570313,0.9119429426920767,-0.058823529411764705,0.2587359860087621,0.0,-0.19611613513818402,0.06517241379310347,-0.3669143833611155,-0.2099999999999997,0.024351368919867545,0.0001819650349519307,-1.225634151292842
SE,Sergipe,Aracaju,Nordeste,-10.9472,-37.0731,-2.629785876583317,-2.211963578224032,0.02255185909980487,-0.7428296122772293,0.02626243691420321,-0.7700472345699896,1.2,0.4349137529876772,0.1,-0.5537177266546861,-11.160666666666673,0.006795400021364086,-0.016449961410491345,0.9913096560477253,-0.1,-0.07428080725767432,0.0,-0.19611613513818402,-0.10000000000000142,-1.1792798233691155,-0.6006896551724124,-0.9136774665045733,0.0004833726778981975,0.1513906540455147
SP,São Paulo,São Paulo,Sudeste,-23.5505,-46.6333,5.056492206848262,-4.556300407160177,0.0404178082191781,0.7659196541829401,0.06874968866749659,1.6127583702674817,1.5454545454545454,1.1069577729170996,0.23809523809523808,0.06381139540413727,-16.80666666666666,-0.8711002643037732,-0.16111232876712384,-0.6359447497728297,-0.25,-1.2874134112996924,0.0,-0.19611613513818402,-0.0645454545454543,-1.004904170939986,-0.8742105263157939,-1.570389157807685,0.00034134631078195954,-0.49747753197462985
TO,Tocantins,Palmas,Norte,-10.2491,-48.3243,7.87898324157359,-1.2990215007361003,0.05299835616438344,1.8283257070140944,0.06853738284571438,1.6008516575193912,1.1111111111111112,0.2619901455204576,0.6666666666666666,1.9802810845522099,-14.456666666666669,-0.5056991287805584,-0.2558696582607889,-1.701835518186879,-0.15,-0.4786583419383469,0.0,-0.19611613513818402,0.18333333333333357,0.21423500587216096,-0.5168181818181814,-0.7123057141834573,0.0004226179219341876,-0.12617631534827295
