state_code,state,capital,region,lat,lon,metric,slope_per_year,slope_per_decade,intercept,method,n_years,first_year,last_year
AL,Alagoas,Maceió,Nordeste,-9.6498,-35.7089,mean_ws10m_m_s,-0.0012329234972677794,-0.012329234972677794,7.719696473351338,theilslopes,46,1981,2026
AL,Alagoas,Maceió,Nordeste,-9.6498,-35.7089,mean_ws50m_m_s,-0.003972689572572819,-0.039726895725728184,14.520489038101697,theilslopes,46,1981,2026
AL,Alagoas,Maceió,Nordeste,-9.6498,-35.7089,mean_vpd_kpa,0.0028986526822894765,0.028986526822894765,-5.036993576075843,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,annual_precip_mm,-13.476363636363699,-134.76363636363698,29156.90954545467,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,rainy_days_ge_1mm,-1.6,-16.0,3478.6000000000004,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,heavy_rain_days_ge_20mm,-0.03125,-0.3125,79.109375,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,extreme_rain_days_ge_50mm,0.0,0.0,0.0,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,dry_days_lt_1mm,1.1875,11.875,-2288.65625,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,longest_dry_spell_days,0.09523809523809523,0.9523809523809523,-180.3095238095238,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,max_1day_precip_mm,0.23449999999999988,2.344999999999999,-423.93574999999976,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,max_5day_precip_mm,-0.262857142857142,-2.62857142857142,635.539285714284,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,rainfall_concentration,0.00024596239522818873,0.0024596239522818872,-0.4402193164617736,theilslopes,46,1981,2026
AM,Amazonas,Manaus,Norte,-3.119,-60.0217,mean_t2m_c,0.02524846311475415,0.2524846311475415,-23.820813478974948,theilslopes,46,1981,2026
